razon_social,nemonico,ruc
ORYGEN PERU S.A.A.,,20330791412
PLUZ ENERGIA PERU S.A.A.,,20269985900
CEMENTOS PACASMAYO S.A.A.,CPACASC1,20419387658
UNACEM CORP S.A.A.,,20100137390
FERREYCORP S.A.A.,FERREYC1,20100027292
"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",,20100147514
COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,,20100079501
MINSUR S.A.,,20100136741
VOLCAN COMPAÑIA MINERA S.A.A.,VOLCABC1,20383045267
SOCIEDAD MINERA CERRO VERDE S.A.A.,,20170072465
ALICORP S.A.A.,ALICORC1,20100055237
INRETAIL PERU CORP.,,  
AUNA S.A.,,20610386483
BANCO BBVA PERU,,20100130204
CREDICORP LTD.,,
